m_a_eV,squid_GeVinv
6.883952069645496224e-04,1.645876131609526691e-14
6.963744730628222430e-04,1.643664061075455599e-14
7.044462277299036847e-04,1.641536486054536408e-14
7.126115430111745839e-04,1.639493971665218533e-14
7.208715033782135597e-04,1.637537100696927913e-14
7.292272058728313045e-04,1.635666474012559943e-14
7.376797602527730442e-04,1.633882710963212361e-14
7.462302891391107279e-04,1.632186449815489113e-14
7.548799281653431614e-04,1.630578348191735230e-14
7.636298261282241416e-04,1.629059083523572205e-14
7.724811451403400600e-04,1.627629353519128951e-14
7.814350607844542133e-04,1.626289876644378534e-14
