m_a_eV,SM_Np_D_0.15mm_GeVinv,SM_Eu_D_0.15mm_GeVinv,SM_Np_D_1mm_GeVinv,SM_Eu_D_1mm_GeVinv
7.601177617955322483e-06,2.765298038104950217e-09,1.789945662198599445e-08,2.645509363503603142e-10,1.712407828833578696e-09
7.689283720758305013e-06,2.751033338885926837e-09,1.780712286216039429e-08,2.632610083881825661e-10,1.704058273275252400e-09
7.778411071286482598e-06,2.736860375361806435e-09,1.771538289695258534e-08,2.619799677011316223e-10,1.695766244028169848e-09
7.868571506936843969e-06,2.722778683344669542e-09,1.762423372172746339e-08,2.607077743331159125e-10,1.687531482461137607e-09
7.959777002314978321e-06,2.708787801775676187e-09,1.753367235210411652e-08,2.594443886676267889e-10,1.679353732141046242e-09
8.052039670825469458e-06,2.694887272711220555e-09,1.744369582386617192e-08,2.581897714272434580e-10,1.671232738829660855e-09
8.145371766280736623e-06,2.681076641309043030e-09,1.735430119287192110e-08,2.569438836731694497e-10,1.663168250480624213e-09
8.239785684528511741e-06,2.667355455814500242e-09,1.726548553496544429e-08,2.557066868047910578e-10,1.655160017236596354e-09
8.335293965098186867e-06,2.653723267546805333e-09,1.717724594588752306e-08,2.544781425592634392e-10,1.647207791426578246e-09
8.431909292866250367e-06,2.640179630885736813e-09,1.708957954118965659e-08,2.532582130111256136e-10,1.639311327563414941e-09
8.529644499741016815e-06,2.626724103258099687e-09,1.700248345614636726e-08,2.520468605719401226e-10,1.631470382341468303e-09
8.628512566366886081e-06,2.613356245124373514e-09,1.691595484566882315e-08,2.508440479899632947e-10,1.623684714634479160e-09
8.728526623848370479e-06,2.600075619965650405e-09,1.682999088422027042e-08,2.496497383498388786e-10,1.615954085493587034e-09
8.829699955494083082e-06,2.586881794270552326e-09,1.674458876573133990e-08,2.484638950723258490e-10,1.608278258145564729e-09
8.932045998580959975e-06,2.573774337522233614e-09,1.665974570351592950e-08,2.472864819140509759e-10,1.600656997991220014e-09
9.035578346138921401e-06,2.560752822185531556e-09,1.657545893018802948e-08,2.461174629672879679e-10,1.593090072603964597e-09
9.140310748756222539e-06,2.547816823694185200e-09,1.649172569757900443e-08,2.449568026597722350e-10,1.585577251728614717e-09
