m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
5.019965133110079395e-06,2.665015536808417440e-09,2.528438520427919692e-10
5.078152112327670320e-06,2.635517070723411209e-09,2.500921178244315940e-10
5.137013543351338897e-06,2.606356777982827236e-09,2.473719752034699943e-10
5.196557243827657437e-06,2.577530785559326267e-09,2.446830629145518737e-10
5.256791122018419569e-06,2.549035264822839439e-09,2.420250238403575152e-10
5.317723177850966182e-06,2.520866431031544497e-09,2.393975049641783452e-10
5.379361503980697620e-06,2.493020542829644323e-09,2.368001573230347662e-10
5.441714286865887343e-06,2.465493901749877771e-09,2.342326359613337250e-10
5.504789807854967299e-06,2.438282851722711634e-09,2.316945998850577701e-10
5.568596444286408679e-06,2.411383778590259539e-09,2.291857120164803511e-10
5.633142670601352205e-06,2.384793109626637132e-09,2.267056391494048529e-10
5.698437059469136196e-06,2.358507313062901088e-09,2.242540519049121126e-10
5.764488282925873171e-06,2.332522897618247805e-09,2.218306246876202211e-10
5.831305113526218997e-06,2.306836412036177250e-09,2.194350356424445087e-10
5.898896425508492959e-06,2.281444444625870120e-09,2.170669666118593983e-10
5.967271195973310562e-06,2.256343622809188991e-09,2.147261030936430982e-10
6.036438506075863713e-06,2.231530612672540399e-09,2.124121341991176220e-10
6.106407542232036346e-06,2.207002118523966779e-09,2.101247526118596026e-10
6.177187597338488473e-06,2.182754882455493051e-09,2.078636545468926295e-10
6.248788072006888211e-06,2.158785683910169956e-09,2.056285397103459345e-10
6.321218475812448520e-06,2.135091339254337716e-09,2.034191112595757298e-10
6.394488428556936328e-06,2.111668701354638128e-09,2.012350757637472608e-10
6.468607661546320942e-06,2.088514659160019527e-09,1.990761431648684202e-10
6.543586018883229431e-06,2.065626137288315216e-09,1.969420267392744878e-10
6.619433458774387721e-06,2.043000095617796163e-09,1.948324430595508349e-10
6.696160054853215108e-06,2.020633528883186324e-09,1.927471119568970595e-10
6.773775997517744987e-06,1.998523466276583155e-09,1.906857564839250299e-10
6.852291595284057289e-06,1.976666971052505341e-09,1.886481028778806245e-10
6.931717276155400522e-06,1.955061140138038846e-09,1.866338805242934871e-10
7.012063589007177030e-06,1.933703103746920354e-09,1.846428219210411731e-10
7.093341204987989700e-06,1.912590024998326528e-09,1.826746626428292126e-10
7.175560918936921209e-06,1.891719099540059745e-09,1.807291413060785087e-10
7.258733650817246552e-06,1.871087555175878000e-09,1.788059995342185444e-10
7.342870447166757580e-06,1.850692651497150755e-09,1.769049819233775083e-10
7.427982482564909622e-06,1.830531679518874247e-09,1.750258360084708358e-10
7.514081061116962114e-06,1.810601961319581562e-09,1.731683122296772852e-10
7.601177617955322483e-06,1.790900849685725497e-09,1.713321638993016171e-10
7.689283720758305013e-06,1.771425727759776894e-09,1.695171471690210595e-10
7.778411071286482598e-06,1.752174008692597858e-09,1.677230209975054779e-10
7.868571506936843969e-06,1.733143135299765581e-09,1.659495471184142745e-10
7.959777002314978321e-06,1.714330579721680723e-09,1.641964900087595992e-10
8.052039670825469458e-06,1.695733843087755459e-09,1.624636168576335193e-10
8.145371766280736623e-06,1.677350455184345950e-09,1.607506975352986848e-10
8.239785684528511741e-06,1.659177974126518602e-09,1.590575045626324052e-10
8.335293965098186867e-06,1.641213986033480316e-09,1.573838130809239075e-10
8.431909292866250367e-06,1.623456104707950872e-09,1.557294008220202762e-10
8.529644499741016815e-06,1.605901971318975153e-09,1.540940480788156479e-10
8.628512566366886081e-06,1.588549254088424579e-09,1.524775376760824959e-10
