m_a_eV,MQM_Np_D_0.15mm_GeVinv,MQM_Eu_D_0.15mm_GeVinv,MQM_Np_D_1mm_GeVinv,MQM_Eu_D_1mm_GeVinv
6.321218475812448520e-06,1.805324786683988810e-09,2.794803387808202068e-09,1.720008680145715466e-10,2.662726464394471362e-10
6.394488428556936328e-06,1.795838060058595940e-09,2.780117090967090121e-09,1.711374553420634309e-10,2.649360068054039971e-10
6.468607661546320942e-06,1.786411142691817920e-09,2.765523384179486736e-09,1.702797913503103120e-10,2.636082666406242963e-10
6.543586018883229431e-06,1.777043724577880475e-09,2.751021787528872149e-09,1.694278487307058415e-10,2.622893836689556881e-10
6.619433458774387721e-06,1.767735497734043506e-09,2.736611824230563921e-09,1.685816003853224110e-10,2.609793159403953870e-10
6.696160054853215108e-06,1.758486156190968368e-09,2.722293020616803278e-09,1.677410194263823773e-10,2.596780218302714149e-10
6.773775997517744987e-06,1.749295395983397815e-09,2.708064906122329911e-09,1.669060791757438142e-10,2.583854600384465426e-10
6.852291595284057289e-06,1.740162915140522451e-09,2.693927013269463776e-09,1.660767531643963464e-10,2.571015895885378449e-10
6.931717276155400522e-06,1.731088413676926820e-09,2.679878877654093065e-09,1.652530151319753615e-10,2.558263698271644837e-10
7.012063589007177030e-06,1.722071593583139908e-09,2.665920037931042208e-09,1.644348390262864068e-10,2.545597604232115685e-10
7.093341204987989700e-06,1.713112158816511543e-09,2.652050035799950249e-09,1.636221990028463890e-10,2.533017213671199184e-10
7.175560918936921209e-06,1.704209815292191785e-09,2.638268415991305138e-09,1.628150694244371029e-10,2.520522129701949015e-10
7.258733650817246552e-06,1.695364270874024081e-09,2.624574726252346507e-09,1.620134248606751238e-10,2.508111958639405022e-10
7.342870447166757580e-06,1.686575235365565391e-09,2.610968517333160353e-09,1.612172400875936671e-10,2.495786309994118461e-10
7.427982482564909622e-06,1.677842420501305257e-09,2.597449342973091349e-09,1.604264900872420527e-10,2.483544796465955378e-10
7.514081061116962114e-06,1.669165539937704326e-09,2.584016759886863175e-09,1.596411500472973689e-10,2.471387033938081462e-10
7.601177617955322483e-06,1.660544309244624357e-09,2.570670327751318394e-09,1.588611953606915693e-10,2.459312641471190902e-10
7.689283720758305013e-06,1.651978445896503019e-09,2.557409609191748053e-09,1.580866016252555009e-10,2.447321241297995299e-10
7.778411071286482598e-06,1.643467669263819464e-09,2.544234169768688638e-09,1.573173446433747967e-10,2.435412458817894558e-10
7.868571506936843969e-06,1.635011700604608692e-09,2.531143577964777764e-09,1.565534004216644580e-10,2.423585922591943488e-10
7.959777002314978321e-06,1.626610263055899194e-09,2.518137405171503980e-09,1.557947451706569294e-10,2.411841264338018489e-10
8.052039670825469458e-06,1.618263081625398347e-09,2.505215225676331703e-09,1.550413553045047276e-10,2.400178118926217386e-10
8.145371766280736623e-06,1.609969883183150702e-09,2.492376616649790583e-09,1.542932074407023538e-10,2.388596124374549825e-10
8.239785684528511741e-06,1.601730396453298445e-09,2.479621158132717483e-09,1.535502783998207423e-10,2.377094921844832904e-10
8.335293965098186867e-06,1.593544352005812484e-09,2.466948433023456273e-09,1.528125452052591586e-10,2.365674155638845816e-10
8.431909292866250367e-06,1.585411482248516771e-09,2.454358027065510503e-09,1.520799850830135886e-10,2.354333473194742469e-10
8.529644499741016815e-06,1.577331521418953191e-09,2.441849528834950823e-09,1.513525754614606374e-10,2.343072525083712264e-10
8.628512566366886081e-06,1.569304205576368248e-09,2.429422529728008924e-09,1.506302939711593942e-10,2.331890965006908154e-10
8.728526623848370479e-06,1.561329272593867257e-09,2.417076623948929152e-09,1.499131184446676428e-10,2.320788449792602172e-10
8.829699955494083082e-06,1.553406462150557989e-09,2.404811408497811021e-09,1.492010269163780799e-10,2.309764639393650384e-10
8.932045998580959975e-06,1.545535515723746431e-09,2.392626483158523690e-09,1.484939976223700687e-10,2.298819196885199272e-10
9.035578346138921401e-06,1.537716176581221255e-09,2.380521450486761889e-09,1.477920090002767992e-10,2.287951788462625280e-10
9.140310748756222539e-06,1.529948189773577792e-09,2.368495915798165537e-09,1.470950396891742389e-10,2.277162083439820738e-10
9.246257116405732772e-06,1.522231302126719639e-09,2.356549487156708193e-09,1.464030685294838097e-10,2.266449754247683224e-10
9.353431520292377225e-06,1.514565262234254385e-09,2.344681775362927521e-09,1.457160745628959518e-10,2.255814476432935283e-10
9.461848194721992990e-06,1.506949820450045269e-09,2.332892393942391906e-09,1.450340370323086275e-10,2.245255928657168512e-10
9.571521538991855843e-06,1.499384728880886488e-09,2.321180959134365599e-09,1.443569353817875650e-10,2.234773792696233780e-10
9.682466119303114621e-06,1.491869741379048239e-09,2.309547089880261692e-09,1.436847492565425544e-10,2.224367753439867437e-10
9.794696670695385670e-06,1.484404613535153241e-09,2.297990407812620761e-09,1.430174585029228466e-10,2.214037498891626438e-10
9.908228099003786902e-06,1.476989102670857431e-09,2.286510537243774356e-09,1.423550431684337747e-10,2.203782720169141150e-10
1.002307548283864352e-05,1.469622967831761436e-09,2.275107105154874931e-09,1.416974835017679537e-10,2.193603111504602091e-10
1.013925407558814327e-05,1.462305969780323294e-09,2.263779741184922882e-09,1.410447599528617360e-10,2.183498370245628217e-10
1.025677930744420885e-05,1.455037870988820385e-09,2.252528077619871337e-09,1.403968531729659610e-10,2.173468196856370431e-10
1.037566678745184839e-05,1.447818435632399460e-09,2.241351749381865774e-09,1.397537440147407964e-10,2.163512294918971036e-10
1.049593230558226690e-05,1.440647429582159548e-09,2.230250394018537411e-09,1.391154135323675374e-10,2.153630371135301855e-10
1.061759183482999109e-05,1.433524620398321930e-09,2.219223651692429359e-09,1.384818429816829453e-10,2.143822135329038638e-10
1.074066153333432268e-05,1.426449777323465867e-09,2.208271165170523268e-09,1.378530138203333360e-10,2.134087300448050327e-10
1.086515774652537261e-05,1.419422671275749025e-09,2.197392579813746547e-09,1.372289077079503304e-10,2.124425582567115824e-10
1.099109700929496075e-05,1.412443074842293759e-09,2.186587543566732280e-09,1.366095065063463267e-10,2.114836700890954575e-10
1.111849604819269957e-05,1.405510762272518791e-09,2.175855706947493941e-09,1.359947922797333682e-10,2.105320377757612582e-10
1.124737178364750747e-05,1.398625509471650392e-09,2.165196723037387148e-09,1.353847472949628181e-10,2.095876338642169982e-10
1.137774133221490236e-05,1.391787093994129963e-09,2.154610247470893565e-09,1.347793540217863871e-10,2.086504312160787511e-10
1.150962200885031106e-05,1.384995295037255909e-09,2.144095938425788624e-09,1.341785951331413295e-10,2.077204030075118738e-10
1.164303132920875528e-05,1.378249893434758304e-09,2.133653456613186815e-09,1.335824535054564486e-10,2.067975227297046704e-10
1.177798701197118017e-05,1.371550671650425676e-09,2.123282465267678389e-09,1.329909122189826327e-10,2.058817641893801332e-10
1.191450698119774729e-05,1.364897413771844076e-09,2.112982630137637692e-09,1.324039545581451825e-10,2.049731015093414681e-10
1.205260936870841401e-05,1.358289905504202733e-09,2.102753619475631183e-09,1.318215640119215482e-10,2.040715091290568336e-10
1.219231251649109383e-05,1.351727934164022371e-09,2.092595104028711292e-09,1.312437242742404181e-10,2.031769618052770638e-10
1.233363497913774693e-05,1.345211288673088879e-09,2.082506757029023375e-09,1.306704192444082858e-10,2.022894346126961465e-10
1.247659552630868525e-05,1.338739759552339196e-09,2.072488254184339870e-09,1.301016330275580401e-10,2.014089029446457187e-10
