m_a_eV,MQM_squid_GeVinv
1.114415251466788068e-04,3.496988443852497857e-14
1.127332563710487184e-04,3.496002251544512264e-14
1.140399601970033122e-04,3.495127969653202101e-14
1.153618101736478507e-04,3.494365088389762248e-14
1.166989818617147353e-04,3.493713093101933255e-14
1.180516528568805612e-04,3.493171464474130937e-14
1.194200028133532475e-04,3.492739678746669558e-14
1.208042134677328878e-04,3.492417207954445263e-14
1.222044686631488684e-04,3.492203520185477986e-14
1.236209543736769146e-04,3.492098079859592024e-14
1.250538587290391272e-04,3.492100348027579230e-14
1.265033720395903835e-04,3.492209782691094732e-14
1.279696868215941666e-04,3.492425839143459989e-14
1.294529978227916035e-04,3.492747970331678004e-14
1.309535020482667609e-04,3.493175627239668894e-14
1.324713987866117508e-04,3.493708259292947958e-14
1.340068896363950598e-04,3.494345314784742468e-14
1.355601785329368979e-04,3.495086241323579351e-14
1.371314717753945468e-04,3.495930486302311597e-14
1.387209780541621008e-04,3.496877497388500066e-14
1.403289084785873094e-04,3.497926723035989789e-14
1.419554766050101563e-04,3.499077613017519189e-14
1.436008984651260766e-04,3.500329618978102851e-14
1.452653925946781202e-04,3.501682195008879236e-14
1.469491800624817218e-04,3.503134798241057308e-14
1.486524844997857086e-04,3.504686889459551874e-14
1.503755321299738291e-04,3.506337933735845660e-14
1.521185517986104894e-04,3.508087401079486187e-14
1.538817750038346259e-04,3.509934767107677217e-14
1.556654359271062154e-04,3.511879513732281940e-14
1.574697714643086743e-04,3.513921129863496995e-14
1.592950212572122977e-04,3.516059112129483576e-14
1.611414277253019891e-04,3.518292965611061362e-14
1.630092360979741085e-04,3.520622204590614560e-14
1.648986944471065013e-04,3.523046353314243877e-14
1.668100537200059119e-04,3.525564946766208309e-14
1.687435677727375780e-04,3.528177531454541617e-14
1.706994934038408014e-04,3.530883666206847639e-14
1.726780903884355897e-04,3.533682922975026132e-14
1.746796215127245720e-04,3.536574887647868293e-14
1.767043526088946592e-04,3.539559160870185942e-14
1.787525525904235457e-04,3.542635358867320106e-14
1.808244934877951721e-04,3.545803114273701190e-14
1.829204504846293803e-04,3.549062076964151862e-14
1.850407019542302061e-04,3.552411914886627557e-14
1.871855294965579319e-04,3.555852314895033974e-14
1.893552179756295359e-04,3.559382983580767249e-14
1.915500555573527931e-04,3.563003648101632587e-14
1.937703337477988843e-04,3.566714057006758633e-14
1.960163474319185771e-04,3.570513981056162740e-14
1.982883949127071325e-04,3.574403214033639943e-14
2.005867779508234102e-04,3.578381573551621965e-14
2.029118018046678087e-04,3.582448901846721984e-14
2.052637752709252192e-04,3.586605066564685941e-14
2.076430107255774669e-04,3.590849961533521668e-14
2.100498241653915262e-04,3.595183507523595398e-14
2.124845352498882828e-04,3.599605652993564123e-14
2.149474673437980470e-04,3.604116374821033080e-14
2.174389475600079977e-04,3.608715679016920420e-14
2.199593068030074913e-04,3.613403601422530040e-14
2.225088798128369288e-04,3.618180208388467371e-14
2.250880052095461704e-04,3.623045597434525942e-14
2.276970255381680010e-04,3.627999897889853052e-14
2.303362873142130959e-04,3.633043271512673215e-14
2.330061410696924790e-04,3.638175913089026652e-14
2.357069413996727572e-04,3.643398051010037500e-14
2.384390470093720473e-04,3.648709947827307866e-14
2.412028207618007131e-04,3.654111900786154346e-14
